country_code,year,BCA_NGDPD,GGXONLB_NGDP,GGXWDG_NGDP,LP,LUR,NGDPD,NGDP_RPCH,PCPIPCH,external_default_1,external_default_2,domestic_default,currency_crisis,inflation_crisis,sovereign_crisis
AGO,1980,0.8,,,8.272,,8.73,2.406,46.708,0,0,0,0,1,0
AGO,1981,-2.241,,,8.495,,8.17,-4.4,1.391,0,0,0,0,0,0
AGO,1982,-6.053,,,8.72,,8.17,,1.833,0,0,0,0,0,0
AGO,1983,-4.22,,,8.948,,8.514,4.2,1.833,0,0,0,0,0,0
AGO,1984,-1.892,,,9.185,,9.025,6.0,1.833,0,0,0,0,0,0
AGO,1985,1.754,,,10.35,,11.119,3.5,1.833,1,1,0,0,0,1
AGO,1986,-2.911,,,10.646,,10.411,2.9,1.833,1,1,0,0,0,1
AGO,1987,3.756,,,10.918,,11.9,4.083,1.833,1,1,0,0,0,1
AGO,1988,-3.633,,,11.214,,12.909,6.129,1.833,1,1,0,0,0,1
AGO,1989,-0.879,,,11.521,,15.017,0.042,1.833,1,1,0,0,0,1
AGO,1990,-1.425,,,11.829,,16.529,-3.45,1.833,1,1,0,0,0,1
AGO,1991,-3.617,,,12.229,,16.022,12.084,85.265,1,1,0,1,1,1
AGO,1992,-5.948,,,12.633,,12.354,11.403,299.097,1,1,1,1,1,1
AGO,1993,-7.456,,,13.038,,8.966,10.969,1379.476,1,1,1,1,1,1
AGO,1994,-5.205,,,13.462,,6.529,10.511,949.771,1,1,1,1,1,1
AGO,1995,-3.621,,,13.912,,8.148,10.364,2672.23,1,1,1,2,1,1
AGO,1996,31.078,13.258,,14.383,,10.51,11.208,4146.01,1,1,1,1,1,1
AGO,1997,-7.158,4.81,,14.871,,12.344,7.274,221.492,1,1,1,1,1,1
AGO,1998,-17.844,0.201,,15.367,,10.464,4.691,107.429,1,1,1,1,1,1
AGO,1999,-17.285,-2.876,,15.871,,9.895,2.181,248.248,1,1,1,2,1,1
AGO,2000,6.291,5.938,118.243,16.394,,12.646,3.055,325.029,1,1,1,1,1,1
AGO,2001,-11.56,6.401,100.221,16.942,,12.378,4.206,152.586,1,1,1,1,1,1
AGO,2002,-0.867,-0.184,65.107,17.516,,17.312,13.666,108.893,1,1,1,1,1,1
AGO,2003,-3.537,-2.85,50.76,18.124,,20.342,3.49,98.219,1,1,0,1,1,1
AGO,2004,2.523,2.708,41.627,18.771,,26.998,11.42,43.525,0,0,0,1,1,0
AGO,2005,12.411,7.75,29.886,19.451,,41.397,14.15,22.961,0,0,0,1,1,0
AGO,2006,18.225,9.547,16.726,20.162,,58.654,11.84,13.305,0,0,0,0,0,0
AGO,2007,14.487,4.811,18.804,20.91,,73.038,13.0,12.249,0,0,0,0,0,0
AGO,2008,7.282,-2.141,28.122,21.692,,98.79,10.79,12.465,0,0,0,0,0,0
AGO,2009,-9.267,-5.204,48.448,22.508,,81.705,2.0,13.721,0,0,0,1,0,0
AGO,2010,7.856,3.997,32.594,23.364,,95.547,5.29,14.48,0,0,0,0,0,0
AGO,2011,10.422,7.998,26.318,24.259,,125.552,3.59,13.484,0,0,0,0,0,0
