country_code,year,BCA_NGDPD,GGXONLB_NGDP,GGXWDG_NGDP,LP,LUR,NGDPD,NGDP_RPCH,PCPIPCH
ABW,1986,,,,0.081,19.6,,,
ABW,1987,,,,0.085,14.5,,16.079,3.639
ABW,1988,,,,0.088,5.0,,18.64,3.121
ABW,1989,,,,0.089,1.5,,12.095,3.989
ABW,1990,,,,0.09,1.3,,3.977,5.838
ABW,1991,,,,0.091,6.078,,7.975,5.553
ABW,1992,,,,0.092,6.428,,5.875,3.87
ABW,1993,,,,0.092,6.022,,7.304,5.219
ABW,1994,,,,0.094,6.43,,8.207,6.284
ABW,1995,,0.339,55.095,0.096,5.983,1.321,2.5,3.413
ABW,1996,,-1.1,54.771,0.099,7.169,1.38,1.257,3.169
ABW,1997,,-0.851,51.068,0.1,7.446,1.532,7.018,3.006
ABW,1998,,1.447,41.039,0.1,3.25,1.665,1.989,1.865
ABW,1999,-25.271,1.538,39.288,0.101,4.793,1.723,1.371,2.274
ABW,2000,11.345,1.885,38.613,0.102,6.923,1.873,7.684,4.074
ABW,2001,16.35,0.554,44.326,0.102,6.5,1.896,4.182,2.884
ABW,2002,-16.996,-1.757,47.079,0.103,8.1,1.962,-0.945,3.316
ABW,2003,-8.182,3.143,40.848,0.105,11.4,2.044,1.111,3.655
ABW,2004,12.156,-6.404,42.543,0.106,9.5,2.255,7.294,2.53
ABW,2005,4.908,-0.959,45.093,0.107,8.8,2.36,-0.383,3.397
ABW,2006,12.702,-0.339,45.518,0.109,9.3,2.47,1.127,3.61
ABW,2007,9.687,1.185,44.558,0.109,5.708,2.678,3.09,5.389
ABW,2008,0.018,4.21,40.31,0.109,6.9,2.843,1.836,8.96
ABW,2009,6.935,-0.084,48.785,0.109,10.3,2.554,-11.678,-2.137
ABW,2010,-18.737,-0.597,54.662,0.109,10.6,2.454,-2.733,2.078
ABW,2011,-10.02,-3.518,59.347,0.108,8.9,2.638,3.369,4.375
ABW,2012,3.602,-5.738,65.533,0.107,9.6,2.615,-1.041,0.571
ABW,2013,-11.957,-2.679,70.032,0.107,7.6,2.728,6.431,-2.372
ABW,2014,-4.797,-3.703,77.709,0.108,7.5,2.791,1.411,0.423
ABW,2015,3.881,2.301,74.177,0.108,7.3,2.963,3.611,0.473
ABW,2016,4.557,2.625,75.387,0.109,7.7,2.984,1.229,-0.929
ABW,2017,0.959,1.438,75.825,0.109,8.9,3.092,3.485,-1.028
ABW,2018,-0.53,1.132,73.31,0.109,7.3,3.276,3.215,3.625
ABW,2019,0.193,3.588,72.086,0.109,5.2,3.347,1.228,3.938
ABW,2020,-17.302,-11.576,117.028,0.109,8.6,2.456,-23.986,-1.312
ABW,2021,-2.27,-5.207,110.656,0.109,8.8,2.855,14.697,0.744
ABW,2022,6.522,3.691,97.752,0.109,4.3,3.266,5.147,5.522
ABW,2023,5.577,7.003,82.463,0.109,4.0,3.769,7.712,3.363
ABW,2024,9.531,7.915,70.163,0.109,4.27,4.192,6.799,1.712
ABW,2025,10.065,5.292,67.129,0.109,4.373,4.319,2.04,0.771
ABW,2026,9.16,4.876,63.927,0.109,4.563,4.471,2.166,2.114
ABW,2027,8.454,4.698,60.583,0.109,4.758,4.658,1.997,2.145
ABW,2028,7.871,4.653,57.695,0.109,4.833,4.83,1.465,2.254
ABW,2029,7.321,4.507,54.836,0.109,4.833,5.012,1.421,2.286
ABW,2030,6.718,4.304,52.137,0.109,4.833,5.193,1.336,2.289
AFG,2002,33.908,,345.977,21.0,,4.367,,
AFG,2003,29.616,,270.602,22.645,,4.553,8.692,35.663
AFG,2004,37.216,,244.967,23.554,,5.146,0.671,16.358
AFG,2005,30.226,-0.87,206.356,24.411,,6.167,11.83,10.569
AFG,2006,20.844,0.724,22.985,25.443,,6.925,5.361,6.785
AFG,2007,63.39,-2.431,20.137,25.903,,8.556,13.34,8.681
AFG,2008,33.769,-3.845,19.057,26.427,,10.297,3.863,26.419
AFG,2009,41.587,-1.742,16.247,27.385,,12.066,20.585,-6.811
